TimeStamp,StationId,wtc_ScYawOpe_counts,wtc_ScYawOpe_endvalue,wtc_ScYawUnw_counts,wtc_ScYawUnw_endvalue,wtc_PriAnAct_endvalue,wtc_ScAStart_counts,wtc_ScAStart_endvalue,wtc_ScBrakOp_counts,wtc_ScBrakOp_endvalue,wtc_ScBrakOp_timeon,wtc_ScFrsErr_endvalue,wtc_ScInOper_counts,wtc_ScInOper_endvalue,wtc_ScInOper_timeon,wtc_ScReToOp_counts,wtc_ScReToOp_endvalue,wtc_ScReToOp_timeon,wtc_ScStartC_counts,wtc_ScWindIR_counts,wtc_ScWindIR_endvalue,wtc_ScWindIR_timeon,wtc_OpCode_endvalue,wtc_ScEnvSto_counts,wtc_ScEnvSto_endvalue,wtc_ScEnvSto_timeon,wtc_ScComSto_counts,wtc_ScComSto_endvalue,wtc_ScComSto_timeon,wtc_ScTurSto_counts,wtc_ScTurSto_endvalue,wtc_ScTurSto_timeon,wtc_ScGrdSto_counts,wtc_ScGrdSto_endvalue,wtc_ScGrdSto_timeon,wtc_LocRemSt_endvalue,wtc_AlarmCde_endvalue,wtc_BrakStat_endvalue,wtc_GenStat_endvalue,wtc_Turbstat_endvalue,wtc_YawStat_endvalue,wtc_TlcStat_endvalue,wtc_TlcLowSpeed_endvalue,wtc_TlcStat_timeon,wtc_TlcLowSpeed_timeon,flag_alarm_code,flag_frs_error,flag_opcode_nonzero,flag_any_stop,is_anomaly,alarm_code,alarm_description,is_stopping_alarm
2016-06-02 07:10:00,2304510,3,0,0,0,1,0,0,0,1,600.0,0,0,1,600,0,1,600,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,b,G,S,|,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 07:20:00,2304510,3,1,0,0,1,0,0,0,0,20.0,0,0,0,6,0,0,20,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,>,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 07:30:00,2304510,6,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,|,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 07:40:00,2304510,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,|,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 07:50:00,2304510,9,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,>,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 08:00:00,2304510,6,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,>,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 08:10:00,2304510,9,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,>,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 08:20:00,2304510,9,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,>,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 08:30:00,2304510,6,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,|,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
2016-06-02 08:40:00,2304510,10,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,600,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,P,*,S,<,0.0,0.0,0.0,0.0,True,False,True,False,True,1001,Unknown alarm,0
