event_id,StationId,start_time,end_time,duration_min,rows,alarm_code_mode,alarm_description,stopping_alarm,date,severity_level,severity_text
1,2304510,2016-06-02 07:10:00,2016-06-02 09:00:00,110,12,1001,Unknown alarm,0,2016-06-02,2,ATTENTION
2,2304510,2016-06-04 05:20:00,2016-06-04 07:50:00,150,16,3411,Unknown alarm,0,2016-06-04,2,ATTENTION
3,2304510,2016-06-19 05:20:00,2016-06-19 05:30:00,10,2,3411,Unknown alarm,0,2016-06-19,1,INFO
4,2304510,2016-06-23 13:20:00,2016-06-23 13:20:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
5,2304510,2016-06-30 05:00:00,2016-06-30 05:10:00,10,2,5113,Unknown alarm,0,2016-06-30,1,INFO
6,2304511,2016-06-02 09:20:00,2016-06-02 09:30:00,10,2,1001,Unknown alarm,0,2016-06-02,1,INFO
7,2304511,2016-06-23 14:50:00,2016-06-23 14:50:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
8,2304511,2016-06-30 05:00:00,2016-06-30 06:20:00,80,9,13400,Unknown alarm,0,2016-06-30,2,ATTENTION
9,2304512,2016-06-23 13:40:00,2016-06-23 13:40:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
10,2304512,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,3173,Unknown alarm,0,2016-06-30,2,ATTENTION
11,2304513,2016-06-14 05:20:00,2016-06-14 05:20:00,0,1,3413,Unknown alarm,0,2016-06-14,1,INFO
12,2304513,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
13,2304513,2016-06-24 05:20:00,2016-06-24 05:30:00,10,2,3412,Unknown alarm,0,2016-06-24,1,INFO
14,2304513,2016-06-29 13:50:00,2016-06-29 14:20:00,30,4,3173,Unknown alarm,0,2016-06-29,1,INFO
15,2304513,2016-06-29 16:40:00,2016-06-30 04:50:00,730,74,64000,Unknown alarm,0,2016-06-29,2,ATTENTION
16,2304513,2016-06-30 05:20:00,2016-06-30 14:00:00,520,53,3118,Unknown alarm,0,2016-06-30,2,ATTENTION
17,2304513,2016-06-30 17:00:00,2016-07-01 00:00:00,420,43,63027,Unknown alarm,0,2016-06-30,2,ATTENTION
18,2304514,2016-06-04 05:20:00,2016-06-04 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-04,3,ALARM
19,2304514,2016-06-09 05:20:00,2016-06-09 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-09,3,ALARM
20,2304514,2016-06-14 05:20:00,2016-06-14 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-14,3,ALARM
21,2304514,2016-06-19 05:20:00,2016-06-19 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-19,3,ALARM
22,2304514,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
23,2304514,2016-06-24 05:20:00,2016-06-24 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-24,3,ALARM
24,2304514,2016-06-29 05:20:00,2016-06-29 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-29,3,ALARM
